file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.3662778203668984
tilty1	-0.08990410523619068
a4	0.1673096718536489
a5	-0.00020567170788757944
a6	0.07895739762448323
a7	-0.01829558588342063
a8	-0.03513766192379515
a9	-0.24893547819122996
a10	-0.13969721608575547
a11	-0.5623816632232042
a12	-0.06644810942967375
a13	-0.004688405727119092
a14	-0.052056488721166624
a15	-0.004636094856026833
