file	usaf_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	0.016269867932172253
tilty1	-0.005391561037265031
a4	-0.8931925375251855
a5	-0.06007109094320641
a6	0.02373149825709355
a7	0.13818470479182202
a8	-0.03114981782515975
a9	0.19956459360803
a10	-0.07605538426856169
a11	-0.17352254880896464
a12	0.06018903412536643
a13	0.11914833428198468
a14	0.2827356157246452
a15	0.16748464653797346
a16	0.2014162868379777
a17	-0.10176696949305276
a18	0.04341807776980877
a19	-0.007895687642937101
a20	0.057799249366206194
a21	-0.004956396652618138
